id,name,en,diocese,match,cand_title,cand_url,license,artist,desc_url,width
"b5c0ae5c-5913-4647-b917-2fd368518033","계산 주교좌대성당","Gyesan Cathedral","대구","weak","Cathedral and Migliore.jpg","https://upload.wikimedia.org/wikipedia/commons/2/23/Cathedral_and_Migliore.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC SA 1.0","","https://commons.wikimedia.org/wiki/File:Cathedral_and_Migliore.jpg","500"
"b5c0ae5c-5913-4647-b917-2fd368518033","계산 주교좌대성당","Gyesan Cathedral","대구","weak","Kyesan Cathedral Front.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e1/Kyesan_Cathedral_Front.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","Himuka tachibana","https://commons.wikimedia.org/wiki/File:Kyesan_Cathedral_Front.jpg","2448"
"b5c0ae5c-5913-4647-b917-2fd368518033","계산 주교좌대성당","Gyesan Cathedral","대구","weak","Kyesan Cathedral Inner.jpg","https://upload.wikimedia.org/wikipedia/commons/2/26/Kyesan_Cathedral_Inner.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","Himuka tachibana","https://commons.wikimedia.org/wiki/File:Kyesan_Cathedral_Inner.jpg","2448"
"90025fc0-dd69-461c-a5c2-3179d8886ff0","관덕정 순교성지","Gwandeokjeong Martyrdom Shrine","대구","strong","Gwandeokjeong Pavilion.JPG","https://upload.wikimedia.org/wikipedia/commons/f/fd/Gwandeokjeong_Pavilion.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","Thddbwnd","https://commons.wikimedia.org/wiki/File:Gwandeokjeong_Pavilion.JPG","1024"
"90025fc0-dd69-461c-a5c2-3179d8886ff0","관덕정 순교성지","Gwandeokjeong Martyrdom Shrine","대구","strong","Gwandeokjeong Pavilion 2.JPG","https://upload.wikimedia.org/wikipedia/commons/e/eb/Gwandeokjeong_Pavilion_2.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","Thddbwnd","https://commons.wikimedia.org/wiki/File:Gwandeokjeong_Pavilion_2.JPG","1024"
"90025fc0-dd69-461c-a5c2-3179d8886ff0","관덕정 순교성지","Gwandeokjeong Martyrdom Shrine","대구","strong","Dolhareubang of Gwandeokjeong 2.JPG","https://upload.wikimedia.org/wikipedia/commons/a/a2/Dolhareubang_of_Gwandeokjeong_2.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","Thddbwnd","https://commons.wikimedia.org/wiki/File:Dolhareubang_of_Gwandeokjeong_2.JPG","600"
"c52027a2-f320-4f54-95b3-e64856dddb4c","범어 주교좌대성당","Beomeo Cathedral","대구","weak","범어대성당.jpg","https://upload.wikimedia.org/wikipedia/commons/4/46/%EB%B2%94%EC%96%B4%EB%8C%80%EC%84%B1%EB%8B%B9.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 3.0","Ewolrd2","https://commons.wikimedia.org/wiki/File:%EB%B2%94%EC%96%B4%EB%8C%80%EC%84%B1%EB%8B%B9.jpg","4160"
"c52027a2-f320-4f54-95b3-e64856dddb4c","범어 주교좌대성당","Beomeo Cathedral","대구","strong","Daegu-metropolitan-transit-corporation-233-Beomeo-station-entrance-10-20161010-081614.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Daegu-metropolitan-transit-corporation-233-Beomeo-station-entrance-10-20161010-081614.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","LERK","https://commons.wikimedia.org/wiki/File:Daegu-metropolitan-transit-corporation-233-Beomeo-station-entrance-10-20161010-081614.jpg","4000"
"c52027a2-f320-4f54-95b3-e64856dddb4c","범어 주교좌대성당","Beomeo Cathedral","대구","strong","Daegu-metropolitan-transit-corporation-233-Beomeo-station-entrance-03-20161011-092850.jpg","https://upload.wikimedia.org/wikipedia/commons/3/31/Daegu-metropolitan-transit-corporation-233-Beomeo-station-entrance-03-20161011-092850.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","LERK","https://commons.wikimedia.org/wiki/File:Daegu-metropolitan-transit-corporation-233-Beomeo-station-entrance-03-20161011-092850.jpg","4000"
"e6ba760e-a5d7-40c0-8899-6f4a319ff2bc","비산 성당","Bisan Church","대구","strong","Minami Bisan-Seto and Kita Bisan-Seto Bridges.jpg","https://upload.wikimedia.org/wikipedia/commons/7/79/Minami_Bisan-Seto_and_Kita_Bisan-Seto_Bridges.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY 2.1 jp","Aimさんの最新情報","https://commons.wikimedia.org/wiki/File:Minami_Bisan-Seto_and_Kita_Bisan-Seto_Bridges.jpg","4288"
