"use","site_id","site_name","diocese","site_location","source","keyword","score","reason","gal_content_id","gal_title","gal_image_url","gal_location","gal_photographer","gal_month","gal_keywords"
"y","da89541b-07ce-4658-b138-897fa4473977","수리치골 성모 성지","대전","충청남도 공주시 신풍면 봉갑리 356-6","tourinfo","수리치골","6","제목⊃검색어·종교어·같은 도","127238","수리치골 성지","https://tong.visitkorea.or.kr/cms/resource/82/3060482_image2_1.JPG","충청남도 공주시 신풍면 용수봉갑길 544","TourAPI 관광정보(contentTypeId 12)","202602",""
"","bf53457b-5cbc-4468-bb63-0b4526967801","수영 장대 순교성지","부산","부산시 수영구 광안 4동 546-4","tourinfo","수영","6","제목⊃검색어·종교어·같은 도","129631","경상좌수영성지","http://tong.visitkorea.or.kr/cms/resource/02/3476802_image2_1.jpg","부산광역시 수영구 수영성로 43","TourAPI 관광정보(contentTypeId 12)","202504",""
"y","800a92cf-7894-484b-a1b8-ed426e8e3509","신나무골 성지","대구","경상북도 칠곡군 지천면 연화리 20","tourinfo","신나무골","9","제목=이름·종교어·같은 도","3486984","신나무골성지","https://tong.visitkorea.or.kr/cms/resource/64/4104364_image2_1.jpg","경상북도 칠곡군 지천면 칠곡대로 2189-22","TourAPI 관광정보(contentTypeId 12)","202608",""
"","83fa7ec0-8694-4a20-9dd9-31c19020bbcb","언양 죽림굴(대재공소)","부산","울산광역시 울주군 상북면 간월산","tourinfo","언양","6","제목⊃검색어·종교어·같은 도","1935346","언양성당 성지","http://tong.visitkorea.or.kr/cms/resource/18/3581718_image2_1.jpg","울산광역시 울주군 언양읍 구교동1길 11","TourAPI 관광정보(contentTypeId 12)","202512",""
"y","4b1bd009-94ca-4cc5-8217-8c3b6b5491c7","연풍 순교성지","청주","충북 괴산군 연풍면","tourinfo","연풍","6","제목⊃검색어·종교어·같은 도","1626555","연풍성지","http://tong.visitkorea.or.kr/cms/resource/53/3571253_image2_1.jpg","충청북도 괴산군 연풍면 중앙로홍문2길 14","TourAPI 관광정보(contentTypeId 12)","202511",""
"y","ad74fef5-1d7c-468e-a32c-03e551af7482","왜관 성 베네딕도 수도원","대구","경북 칠곡군 왜관읍 왜관수도원길 67","tourinfo","왜관","6","제목⊃검색어·종교어·같은 도","2514751","성베네딕도회 왜관수도원","https://tong.visitkorea.or.kr/cms/resource/42/4074442_image2_1.jpg","경상북도 칠곡군 왜관읍 관문로 61","TourAPI 관광정보(contentTypeId 12)","202606",""
"y","933c7006-8bb5-4ff0-85d3-ac5146f47372","용수성지 (성 김대건 신부 제주 표착 기념관)","제주","제주특별자치도 제주시 한경면 용수리","tourinfo","용수성지","9","제목=이름·종교어·같은 도","2765233","용수성지","http://tong.visitkorea.or.kr/cms/resource/00/3553800_image2_1.jpg","제주특별자치도 제주시 한경면 용수1길 108","TourAPI 관광정보(contentTypeId 12)","202510",""
"y","db51e1aa-4101-48a8-94db-bc10f3723464","은이 성지","수원","경기도 용인시 처인구","tourinfo","은이성지","9","제목=이름·종교어·같은 도","2612873","은이성지(청년 김대건길)","http://tong.visitkorea.or.kr/cms/resource/17/3559617_image2_1.jpg","경기도 용인시 처인구 양지면 은이로 182","TourAPI 관광정보(contentTypeId 12)","202510",""
"","db51e1aa-4101-48a8-94db-bc10f3723464","은이 성지","수원","경기도 용인시 처인구","tourinfo","은이성지","9","제목=이름·종교어·같은 도","2395752","[경기옛길 영남길 제6길] 은이성지, 마애불길(양지면 남곡리~원삼면 독성리)","http://tong.visitkorea.or.kr/cms/resource/68/3383468_image2_1.jpg","경기도 용인시 처인구 양지면 남곡로 92","TourAPI 관광정보(contentTypeId 28)","202503",""
"y","5e4d123d-49ce-4900-a78e-af010cfef31b","음성 감곡면 매괴성당","청주","충북 음성군 감곡면","tourinfo","매괴","6","제목⊃검색어·종교어·같은 도","1114686","감곡매괴성모순례지성당","http://tong.visitkorea.or.kr/cms/resource/53/3576253_image2_1.jpg","충청북도 음성군 감곡면 성당길 10","TourAPI 관광정보(contentTypeId 12)","202511",""
"","9edab3f9-51b6-4094-9dfb-5c606e237e9f","인제 소양로 성당(내면)","춘천","강원특별자치도 인제군 남면 빙어마을길 196","tourinfo","인제","6","제목⊃검색어·종교어·같은 도","3072017","인제성당","https://tong.visitkorea.or.kr/cms/resource/70/3502670_image2_1.jpg","강원특별자치도 인제군 인제읍 인제로225번길 12","TourAPI 관광정보(contentTypeId 12)","202603",""
"y","8d87ca6f-f31d-40d4-b25e-9a425aed0954","죽산 순교성지","수원","경기도 안성시 일죽면 죽림리","tourinfo","죽산","6","제목⊃검색어·종교어·같은 도","127027","죽산성지(이진터성지)","http://tong.visitkorea.or.kr/cms/resource/14/3404714_image2_1.jpg","경기도 안성시 일죽면 종배길 115","TourAPI 관광정보(contentTypeId 12)","202503",""
"","8d87ca6f-f31d-40d4-b25e-9a425aed0954","죽산 순교성지","수원","경기도 안성시 일죽면 죽림리","tourinfo","죽산","6","제목⊃검색어·종교어·같은 도","2395755","[경기옛길 영남길 제9길] 죽산성지순례길(죽산면소재지 ~ 일죽면 금산리)","http://tong.visitkorea.or.kr/cms/resource/59/3393759_image2_1.jpg","경기도 안성시 죽산면 죽산초교길","TourAPI 관광정보(contentTypeId 28)","202503",""
"y","d55432d2-ae7b-4416-9f8d-9f14815e7328","천호성지","전주","전북 완주군 비봉면 천호성지길","tourinfo","천호성지","9","제목=이름·종교어·같은 도","1935601","천호성지","https://tong.visitkorea.or.kr/cms/resource/20/3511720_image2_1.jpg","전북특별자치도 완주군 비봉면 천호성지길 124","TourAPI 관광정보(contentTypeId 12)","202603",""
"","4b4813bf-9094-4ff2-becf-ba265c50642c","천호성지","수원","경기도 광주시 퇴촌면","tourinfo","천호성지","4","제목=이름·종교어·다른 도(전북)","1935601","천호성지","https://tong.visitkorea.or.kr/cms/resource/20/3511720_image2_1.jpg","전북특별자치도 완주군 비봉면 천호성지길 124","TourAPI 관광정보(contentTypeId 12)","202603",""
"y","0e16c2ac-8f78-4b16-9059-b69041e3c96e","치명자산 성지","전주","전북 전주시 완산구 교동 승암산(치명자산) 정상","tourinfo","치명자산","9","제목=이름·종교어·같은 도","127611","치명자산성지","http://tong.visitkorea.or.kr/cms/resource/04/3529504_image2_1.jpg","전북특별자치도 전주시 완산구 바람쐬는길 87 (대성동)","TourAPI 관광정보(contentTypeId 12)","202509",""
"y","3c5c55a8-c994-4d95-882c-19ab96beb26c","한티 순교성지","대구","경북 칠곡군 동명면 한티로 1","tourinfo","한티","9","제목=이름·종교어·같은 도","1935320","한티 순교성지","https://tong.visitkorea.or.kr/cms/resource/20/3490520_image2_1.jpg","경상북도 칠곡군 동명면 한티로1길 69","TourAPI 관광정보(contentTypeId 12)","202603",""
"y","d8b49c3c-d4f9-4b04-805d-4d9a575d877d","황사영 순교순례지","의정부","경기도 양주시 장흥면 부곱리 일대 (홍복산)","tourinfo","황사영","6","제목⊃검색어·종교어·같은 도","127018","순교자 황사영 알렉시오 묘","http://tong.visitkorea.or.kr/cms/resource/06/3541606_image2_1.jpg","경기도 양주시 장흥면 부곡리","TourAPI 관광정보(contentTypeId 12)","202510",""
"y","751e12ce-fa81-4bd0-87e5-2f3af28848d0","황새바위 순교성지","대전","충남 공주시 왕릉로 118","tourinfo","황새바위","9","제목=이름·종교어·같은 도","127240","공주 황새바위 순교성지","http://tong.visitkorea.or.kr/cms/resource/84/3390284_image2_1.JPG","충청남도 공주시 왕릉로 118 (금성동)","TourAPI 관광정보(contentTypeId 12)","202503",""
